cpc_1,cpc_2,prob_rupture,convergence_type,acteurs_communs
H05K,B23K,0.0648,ASYM,438
H04L,G01S,0.0643,GPT,768
G01N,C12M,0.0641,GPT,666
E04B,E04C,0.0638,ASYM,565
H04B,G01R,0.0636,ASYM,664
H04N,G08B,0.0634,GPT,472
H10K,H10F,0.0632,SYM,319
C12N,C12M,0.0631,GPT,613
G02B,B60K,0.063,ASYM,305
G06V,G06N,0.0629,SYM,558
H04N,B41J,0.0628,GPT,196
H04N,G03G,0.0623,GPT,98
H02M,H03K,0.0622,SYM,412
G05B,B23Q,0.0616,GPT,317
H04B,G01S,0.0613,ASYM,676
C09K,C07F,0.0608,ASYM,407
G06V,G01S,0.0604,SYM,610
B60Q,F21W,0.0601,SYM,168
A61P,C07H,0.06,GPT,630
G02B,H10K,0.0596,ASYM,332
A23B,A23L,0.0594,GPT,278
C01B,C01P,0.0592,SYM,654
B60Y,B62D,0.059,SYM,431
A61K,A61F,0.059,GPT,781
B01J,C08G,0.059,SYM,615
D01D,D01F,0.0588,SYM,316
A47J,F24C,0.0586,SYM,137
G05D,G06V,0.0586,SYM,516
H01B,H02G,0.0584,SYM,266
B21C,B21D,0.0581,ASYM,161
B01J,F01N,0.0581,GPT,195
B05B,B08B,0.058,SYM,319
G01M,G01L,0.0577,SYM,460
B29C,B65B,0.0577,GPT,478
B65D,A61J,0.0576,GPT,374
H04R,G10K,0.0574,ASYM,301
G02B,G06V,0.0572,SYM,669
B29C,B22F,0.0571,GPT,612
H05B,A24F,0.0571,ASYM,97
G02B,G01B,0.0569,ASYM,683
F16D,B60T,0.0567,SYM,391
B29C,B23K,0.0565,GPT,672
G06T,G01S,0.0563,ASYM,729
A61K,C08G,0.0559,GPT,734
G01R,H03K,0.0556,ASYM,487
G06Q,G06F,0.0555,GPT,1544
G11C,H10B,0.0555,ASYM,127
G05B,G06N,0.0552,SYM,431
F05D,F23R,0.0551,GPT,111
H04R,H01Q,0.0551,SYM,187
G06F,A61B,0.0547,ASYM,1189
A61K,A61L,0.0543,GPT,1383
G05D,B64D,0.0542,SYM,254
G06Q,G06N,0.0541,SYM,454
B65G,B25J,0.0539,SYM,364
G05B,F24F,0.0539,ASYM,268
H04L,H05B,0.0538,GPT,444
G01S,G01V,0.0536,GPT,286
G06F,A63F,0.0536,GPT,234
F01D,F16J,0.0534,GPT,160
G05B,G06Q,0.0531,SYM,682
H04L,H02J,0.0527,GPT,745
A61B,A61G,0.052,GPT,253
B26F,B26D,0.0519,ASYM,277
G10L,G06N,0.0517,ASYM,218
A61B,B25J,0.0516,GPT,349
A61B,A61H,0.0516,GPT,349
F04D,H02K,0.0513,SYM,383
G05D,B25J,0.051,SYM,336
A61K,C07B,0.0507,GPT,931
G05B,B25J,0.0507,ASYM,580
B60Y,B60R,0.0506,SYM,426
H01J,H05H,0.0506,ASYM,235
C01G,H01M,0.0503,GPT,302
A61K,A23V,0.0502,GPT,969
G01R,B60L,0.0502,SYM,474
B60B,B60C,0.0501,ASYM,130
H01M,C25B,0.0501,GPT,251
B60K,H02K,0.0495,SYM,369
A61K,A23L,0.0494,GPT,1223
H02M,H02H,0.0493,ASYM,379
G06F,G01R,0.049,GPT,1038
G01D,G01L,0.0489,SYM,486
H01R,H02G,0.0489,ASYM,471
B32B,G02B,0.0489,SYM,645
G06T,G06V,0.0488,SYM,1357
G01N,G01T,0.0487,GPT,252
B32B,C03C,0.0487,GPT,323
G04B,G04C,0.0486,ASYM,47
E21B,G01N,0.0485,GPT,264
A01B,A01D,0.0484,SYM,138
G01N,G05B,0.0482,ASYM,783
G05B,H05K,0.048,SYM,512
H04N,G11B,0.0479,GPT,291
B65B,B65G,0.0479,SYM,337
H04W,H01Q,0.0478,GPT,495
F16C,F16J,0.0478,ASYM,303
G02B,H05K,0.0478,ASYM,677
A47J,B01F,0.0475,SYM,136
G16H,A61N,0.0473,SYM,429
B64C,B64U,0.047,ASYM,324
G06F,G01C,0.047,GPT,696
G02B,H01R,0.0469,GPT,454
G01N,G01D,0.0466,GPT,606
E04B,E04H,0.0464,SYM,301
G02B,H01S,0.0464,GPT,462
A61B,G01T,0.0461,GPT,262
H05K,H01F,0.046,ASYM,455
B22F,B23K,0.0459,SYM,464
G01B,G01S,0.0459,SYM,575
B60R,G06V,0.0458,SYM,359
H05K,H01R,0.0457,ASYM,697
A47L,D06F,0.0456,ASYM,109
A61K,A61B,0.0456,SYM,1274
B29K,C08L,0.0452,ASYM,910
H05K,A47B,0.0451,GPT,124
B62D,G05D,0.0449,SYM,373
A61M,A61F,0.0448,SYM,1059
G01N,G01L,0.0445,GPT,613
H01L,C23C,0.0445,ASYM,587
H01Q,H01P,0.0445,GPT,254
F04D,F24F,0.0441,SYM,191
A61P,C07B,0.0441,GPT,886
G02B,H01L,0.044,ASYM,713
H01R,H01H,0.0439,ASYM,340
A61B,G06V,0.0438,ASYM,697
D04B,D10B,0.0435,ASYM,272
