cpc4,window_start,window_end,strength,pagerank,t_center
B23P,1980,1984,288.0695662174711,0.0014240368827072457,1982.0
A23D,1980,1984,29.61685874245681,0.00038383576471228483,1982.0
D02H,1980,1984,21.157281757923457,0.0003465492709110177,1982.0
B23H,1980,1984,16.85008267080557,0.0003152460319468679,1982.0
F24C,1980,1984,479.37874884939737,0.0020532984739327948,1982.0
B27J,1980,1984,2.1844994549289996,0.00025226838873060174,1982.0
C10N,1980,1984,504.7048743920128,0.0015501651189339745,1982.0
H10B,1980,1984,243.3918100763119,0.0010204520239573843,1982.0
F17C,1980,1984,216.33411986013522,0.0010278769151894243,1982.0
F02F,1980,1984,152.1626979347067,0.0009095649152381365,1982.0
B43L,1980,1984,35.24896389695763,0.0004701163562689949,1982.0
G08B,1980,1984,218.97780182357414,0.001274038470670968,1982.0
F41B,1980,1984,10.342817098715486,0.00034695993099694516,1982.0
A21D,1980,1984,57.355883819341635,0.0004648014166404175,1982.0
A61L,1980,1984,515.5166215961507,0.0018467676352218446,1982.0
F16M,1980,1984,123.6899769318327,0.00078107075057101,1982.0
G01K,1980,1984,139.61585092833846,0.0008344182454236625,1982.0
F16J,1980,1984,506.9317988802541,0.0022574411286825093,1982.0
C07G,1980,1984,73.02646189567233,0.00039635342801071547,1982.0
F24D,1980,1984,631.7658879247107,0.002489936246464624,1982.0
A47C,1980,1984,224.5310390181895,0.001604964667542884,1982.0
C08B,1980,1984,231.4257160745747,0.000856902030581366,1982.0
B61B,1980,1984,42.57108244033076,0.0004879695415404765,1982.0
A23L,1980,1984,459.0505223967867,0.0019484625343346533,1982.0
B07B,1980,1984,94.34863080700063,0.0006006840336585192,1982.0
B65H,1980,1984,1209.580969280695,0.005669299996288336,1982.0
B63B,1980,1984,288.56195432345106,0.0014264306727377464,1982.0
H02P,1980,1984,222.41608790736785,0.0012650662951869847,1982.0
A61B,1980,1984,1112.674122991203,0.004915700219292392,1982.0
C01P,1980,1984,617.3958761998937,0.0019828895139291478,1982.0
G01C,1980,1984,163.5500429101196,0.0010125791479742986,1982.0
B67D,1980,1984,157.8522001334208,0.0007940302349713445,1982.0
G01W,1980,1984,4.368998909857999,0.00025808633497303616,1982.0
D21C,1980,1984,104.13061993996303,0.0007088877748547049,1982.0
A23C,1980,1984,73.43642354025383,0.0004941143167179499,1982.0
A21C,1980,1984,87.87583153556187,0.0006015223331884177,1982.0
B64F,1980,1984,9.234292234320526,0.00029947432695508425,1982.0
F02B,1980,1984,579.0568660664287,0.002822360525629752,1982.0
B03C,1980,1984,151.97224949615514,0.0007249258296457304,1982.0
E02F,1980,1984,358.5174573357102,0.0016521882056021407,1982.0
G07B,1980,1984,49.78133113306989,0.0006003358249071338,1982.0
B25D,1980,1984,91.42237927287383,0.0006272715843233585,1982.0
C25F,1980,1984,44.422409087081306,0.00043995639604582854,1982.0
G04F,1980,1984,72.8670617188712,0.0005728348940953808,1982.0
A61Q,1980,1984,354.2942044631594,0.0010993634499414028,1982.0
B02B,1980,1984,12.985635648744607,0.0002905038402323788,1982.0
E01B,1980,1984,208.8914788909679,0.0010587274983162591,1982.0
D06B,1980,1984,126.12152124071733,0.0008283277865631795,1982.0
B22F,1980,1984,336.86508512589216,0.0014229044911434215,1982.0
G10F,1980,1984,4.368998909857999,0.0002555906700209342,1982.0
F16G,1980,1984,157.05159224309978,0.0009557745331605344,1982.0
G01N,1980,1984,1937.9028983044484,0.0066926762519964236,1982.0
G07F,1980,1984,193.98845605062226,0.001327854943790714,1982.0
H03C,1980,1984,8.812240974239408,0.0002928857673084789,1982.0
H03J,1980,1984,54.67149184974576,0.0005398079448015082,1982.0
B41N,1980,1984,77.17942545767549,0.0005788881098637435,1982.0
B62D,1980,1984,1409.7086879336098,0.005782795838276539,1982.0
H03F,1980,1984,97.42905032777952,0.0006980755480725253,1982.0
B44B,1980,1984,23.354626971660338,0.0003579461151289952,1982.0
A61P,1980,1984,9927.067898209218,0.016489153410750867,1982.0
A21B,1980,1984,48.74949070970864,0.0004606252714989188,1982.0
G10H,1980,1984,37.57957215089049,0.0004224503372050912,1982.0
B27K,1980,1984,122.53554985120442,0.00047706783286709286,1982.0
B23C,1980,1984,124.29633726709332,0.0006546707551830706,1982.0
B41G,1980,1984,4.368998909857999,0.0002555906700209342,1982.0
B64D,1980,1984,113.16537450667494,0.000810599985279062,1982.0
