,A01,A21,A22,A23,A24,A41,A42,A43,A44,A45,A46,A47,A61,A62,A63,A99,B01,B02,B03,B04,B05,B06,B07,B08,B09,B21,B22,B23,B24,B25,B26,B27,B28,B29,B30,B31,B32,B33,B41,B42,B43,B44,B60,B61,B62,B63,B64,B65,B66,B67,B68,B81,B82,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C21,C22,C23,C25,C30,C40,D01,D02,D03,D04,D05,D06,D07,D10,D21,E01,E02,E03,E04,E05,E06,E21,F01,F02,F03,F04,F05,F15,F16,F17,F21,F22,F23,F24,F25,F26,F27,F28,F41,F42,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G16,G21,H01,H02,H03,H04,H05,H10,Y02,Y04,Y10
A01,4539,1,10,142,2,2,1,0,1,6,2,25,776,0,12,0,124,8,1,0,44,2,15,12,3,2,0,8,3,23,14,63,3,43,20,5,23,0,6,0,1,4,67,0,27,8,1,118,9,3,2,0,6,28,90,5,17,59,1,2075,124,126,9,88,404,0,3,0,3,13,2,1,0,9,1,0,14,0,33,7,8,20,42,30,3,49,5,12,2,2,7,1,9,2,14,67,4,9,0,9,24,17,4,0,7,5,3,160,13,4,1,45,26,8,7,14,4,4,0,0,1,22,8,2,4,7,1,334,0,519
A21,1,440,4,241,0,0,0,0,0,0,0,25,40,0,1,0,20,2,0,1,1,0,2,3,0,1,0,0,0,0,10,0,0,12,6,0,0,0,0,0,0,0,0,0,1,0,0,35,0,1,0,0,0,1,1,0,0,1,0,21,13,6,0,10,59,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,2,29,5,6,2,3,0,0,9,0,0,0,3,1,4,0,0,0,0,0,0,0,0,1,0,0,8,0,14,0,46
A22,10,4,213,31,0,0,0,0,0,0,0,7,4,0,0,0,1,3,0,1,3,0,3,0,0,0,0,5,0,1,4,2,0,19,6,0,12,0,1,0,0,0,0,0,1,0,0,43,0,0,0,0,0,0,1,0,0,0,0,0,21,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,2,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,1,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,0,78
A23,142,241,31,2627,28,0,0,0,0,2,0,48,694,0,5,0,152,9,5,1,14,0,3,6,1,0,4,2,0,0,10,4,0,33,21,0,16,0,1,0,0,0,3,0,0,0,0,136,0,12,0,0,7,24,28,2,3,17,1,305,113,71,8,180,334,17,1,0,1,3,1,1,0,3,1,0,0,0,12,1,0,17,0,1,0,1,1,0,0,0,2,1,0,0,1,7,1,1,0,5,9,53,29,0,26,1,0,18,2,6,1,1,1,3,0,0,0,0,0,0,1,2,1,1,2,15,1,141,0,396
A24,2,0,0,28,231,0,0,0,1,1,0,0,26,0,0,0,9,2,0,0,4,0,5,0,0,0,0,10,0,0,11,0,0,0,0,2,1,0,1,0,1,0,8,0,0,0,0,24,0,0,0,0,0,1,2,1,1,0,1,26,6,3,0,11,5,0,0,0,0,0,0,0,0,9,0,0,6,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,5,1,0,1,0,10,0,0,1,0,2,0,1,0,0,0,0,0,0,1,1,0,0,4,0,1,0,56
A41,2,0,0,0,0,422,9,11,31,8,0,6,76,27,23,0,12,0,1,0,6,0,0,0,0,3,0,3,0,2,7,0,0,30,2,1,57,0,2,1,0,1,1,0,1,5,5,19,0,1,1,0,0,0,0,0,0,1,0,1,16,7,0,0,0,0,4,0,0,0,0,0,0,10,13,13,61,15,47,2,36,0,1,0,0,1,0,0,1,0,1,0,0,0,1,9,0,2,0,0,0,2,0,0,2,13,0,3,7,1,0,2,7,1,3,2,0,0,0,0,2,2,1,0,0,1,0,4,0,146
A42,1,0,0,0,0,9,65,5,5,2,0,2,5,8,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,1,0,0,0,10,0,2,7,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,5,2,0,1,0,16
A43,0,0,0,0,0,11,5,278,2,1,0,7,22,1,87,0,1,0,0,0,3,0,0,0,0,1,0,3,0,3,0,1,0,41,0,0,15,0,0,0,0,0,3,0,8,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,0,2,2,0,7,0,0,0,4,6,2,1,1,0,2,0,0,0,1,1,0,1,4,1,3,0,60
A44,1,0,0,0,1,31,5,2,577,15,1,9,28,1,2,0,0,0,0,0,2,0,0,0,0,8,6,6,5,1,3,0,1,58,0,13,9,0,2,2,1,7,21,0,0,2,3,44,0,0,1,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,7,3,3,0,0,0,2,12,32,9,7,0,32,0,1,0,0,2,1,2,1,0,0,0,0,0,0,24,0,1,0,0,0,0,0,0,1,0,0,2,5,0,22,0,2,5,0,10,0,0,0,0,0,4,1,0,0,1,1,0,0,433
A45,6,0,0,2,1,8,2,1,15,420,45,27,61,3,12,0,7,0,0,0,20,0,0,1,0,0,0,2,1,6,11,0,0,15,1,1,2,0,0,6,17,8,4,0,3,4,1,93,0,1,0,0,0,0,1,0,0,0,0,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0,0,0,0,1,6,19,1,0,0,0,0,2,0,0,6,0,5,0,4,1,1,1,0,0,4,0,3,3,1,0,5,4,7,2,17,4,2,1,0,0,6,3,0,6,8,0,7,0,92
A46,2,0,0,0,0,0,0,0,1,45,245,11,43,0,0,0,1,0,0,0,7,0,0,6,0,1,0,3,10,6,2,0,0,36,0,0,2,0,1,0,3,6,5,0,0,0,0,15,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,1,0,1,0,0,0,10,3,1,1,0,1,1,1,1,2,0,0,0,0,1,0,0,0,0,0,0,1,13,0,0,0,0,1,0,0,0,0,0,0,1,2,1,0,0,0,0,0,5,0,2,0,0,0,5,1,0,0,1,0,1,0,68
A47,25,25,7,48,0,6,2,7,9,27,11,2122,134,4,16,0,66,6,3,13,52,1,4,36,0,8,2,18,16,30,11,5,3,65,1,11,62,0,6,14,6,10,93,4,20,6,7,224,9,12,15,0,1,0,9,8,9,2,0,1,20,29,0,30,0,0,0,1,3,7,1,0,0,3,3,10,46,4,93,1,10,14,22,3,41,82,77,49,0,1,3,0,24,3,2,234,3,15,10,3,63,72,11,1,9,1,0,54,4,3,0,29,26,42,10,45,4,9,0,2,1,33,56,0,11,96,0,61,1,517
A61,776,40,4,694,26,76,5,22,28,61,43,134,27249,34,73,1,634,7,6,45,210,24,3,20,15,28,36,88,29,54,40,9,3,342,21,19,196,10,22,0,5,5,66,4,28,4,7,360,11,18,1,2,285,169,78,73,68,16,2,11126,1324,503,21,400,2600,7,9,8,43,68,10,4,26,57,8,12,187,0,152,2,56,91,3,1,12,6,6,1,3,4,21,3,114,11,13,258,11,14,6,9,37,35,14,3,14,6,0,1508,231,67,8,90,176,24,37,39,59,25,2,103,99,196,64,33,139,107,18,1142,2,3781
A62,0,0,0,0,0,27,8,1,1,3,0,4,34,476,14,0,59,1,1,0,26,0,0,1,45,2,0,3,1,3,1,0,0,4,0,2,10,0,0,0,0,0,9,6,3,26,23,5,13,0,0,0,1,20,40,5,12,1,5,14,18,20,15,7,19,0,0,2,4,3,0,0,0,2,3,3,4,0,6,1,7,3,1,0,1,9,9,12,0,0,4,1,3,1,4,37,7,4,0,7,15,2,0,3,0,2,5,5,0,1,0,5,0,0,5,4,0,0,0,0,3,3,8,0,0,5,0,42,0,122
A63,12,1,0,5,0,23,4,87,2,12,0,16,73,14,864,0,6,0,0,0,2,0,0,0,0,2,7,3,4,17,0,0,0,39,0,0,16,0,7,2,0,8,11,4,19,13,6,11,3,0,0,0,0,1,0,0,1,0,0,1,19,4,0,0,1,0,0,1,4,2,0,0,0,5,3,2,3,0,5,3,1,0,19,2,0,9,2,1,1,2,3,0,0,0,1,40,1,5,0,0,3,0,0,0,0,12,0,34,10,7,3,27,137,45,4,69,14,12,0,4,1,17,8,2,69,9,0,14,0,167
A99,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B01,124,20,1,152,9,12,0,1,0,7,1,66,634,59,6,0,10340,18,136,131,155,3,41,43,38,15,82,31,18,7,5,4,58,329,43,10,69,3,37,1,1,16,74,1,1,11,9,135,2,43,0,10,122,1195,644,89,206,45,12,2183,931,199,804,143,322,30,0,32,143,140,77,16,163,82,2,5,68,1,55,0,6,131,9,27,52,18,5,4,44,437,305,9,77,16,28,115,35,4,48,219,88,132,79,45,211,1,3,787,32,55,0,68,13,4,1,5,2,21,0,2,86,236,13,3,2,82,10,2036,0,2063
B02,8,2,3,9,2,0,0,0,0,0,0,6,7,1,0,0,18,235,17,1,0,0,17,0,6,1,7,7,3,0,9,9,2,35,7,0,1,0,1,0,0,0,1,0,0,0,0,9,0,0,0,0,0,5,1,1,11,3,1,0,2,2,2,0,1,1,0,1,6,0,0,0,0,0,0,0,1,0,1,0,0,29,4,6,0,0,0,0,0,0,0,0,2,0,0,10,0,0,0,6,0,1,3,1,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,56,0,44
B03,1,0,0,5,0,1,0,0,0,0,0,3,6,1,0,0,136,17,444,14,8,0,57,3,32,0,5,1,2,1,0,1,6,44,2,0,5,0,3,0,1,0,0,0,0,0,0,6,0,0,0,0,5,12,35,2,8,8,0,8,9,11,18,1,16,0,0,1,23,0,1,0,0,1,0,0,4,0,3,0,0,36,2,4,1,1,0,0,1,13,3,0,0,0,1,2,0,0,1,6,11,1,0,1,1,0,0,47,0,3,0,1,0,0,0,0,0,1,0,0,7,25,4,1,1,2,1,180,0,94
B04,0,1,1,1,0,0,0,0,0,0,0,13,45,0,0,0,131,1,14,293,4,0,10,1,0,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,3,0,0,2,1,0,10,5,11,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,10,0,1,0,0,1,0,8,14,3,0,3,0,0,15,0,0,10,18,2,2,6,8,5,0,0,33,0,0,0,2,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,16,0,45
B05,44,1,3,14,4,6,0,3,2,20,7,52,210,26,2,0,155,0,8,4,2304,6,3,58,0,22,20,26,18,10,10,20,22,162,5,10,71,2,54,9,9,48,43,1,5,4,4,235,0,20,0,0,60,14,8,69,41,2,0,8,206,263,15,3,6,0,7,13,8,155,20,6,3,9,0,0,13,2,55,3,0,103,13,3,26,30,4,11,5,12,30,0,36,6,18,96,3,7,0,43,10,8,18,7,11,5,0,66,29,95,0,23,1,1,2,3,1,28,0,2,3,85,19,2,2,58,6,103,0,552
B06,2,0,0,0,0,0,0,0,0,0,0,1,24,0,0,0,3,0,0,0,6,186,2,3,0,0,0,7,1,2,5,0,3,14,0,0,0,1,0,0,0,0,1,0,0,0,0,8,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8,9,0,0,0,0,4,1,0,0,0,0,2,5,0,0,0,1,0,0,0,0,0,1,0,46,0,1,1,4,2,0,2,0,47,0,0,0,0,7,6,8,11,1,10,0,0,43
B07,15,2,3,3,5,0,0,0,0,0,0,4,3,0,0,0,41,17,57,10,3,2,444,3,2,4,5,1,0,2,1,2,1,19,0,0,1,0,1,1,6,0,1,1,0,0,0,105,0,1,0,0,0,2,0,2,1,1,0,2,1,1,5,0,2,1,0,0,5,0,1,0,0,5,0,0,1,0,1,0,0,26,5,5,1,0,0,0,6,0,1,0,0,0,0,5,0,0,1,2,0,0,0,4,1,0,1,60,1,7,0,2,44,24,1,0,0,1,0,0,2,4,0,0,1,2,0,50,0,105
B08,12,3,0,6,0,0,1,0,0,1,6,36,20,1,0,0,43,0,3,1,58,3,3,548,8,7,6,27,26,9,1,0,2,24,0,0,5,0,4,0,0,7,15,0,0,10,6,50,0,14,0,0,0,5,12,5,2,0,0,0,5,12,4,20,2,0,0,3,4,39,12,0,0,2,0,2,7,0,12,0,1,4,8,4,14,11,2,0,10,4,4,1,21,5,1,27,4,0,5,4,15,0,12,3,22,0,1,14,8,12,0,7,1,1,1,6,2,6,0,0,7,64,4,1,1,15,0,23,0,94
B09,3,0,0,1,0,0,0,0,0,0,0,0,15,45,0,0,38,6,32,0,0,0,2,8,323,0,0,6,0,1,0,0,0,17,8,0,0,0,0,0,0,0,3,0,2,1,0,7,0,1,0,0,0,7,82,16,23,21,2,2,9,27,20,3,28,0,0,3,25,2,0,1,0,0,0,0,1,0,0,0,0,3,6,24,1,4,0,0,23,4,2,0,0,0,0,6,2,0,0,25,0,1,10,5,0,0,3,1,0,0,0,0,0,0,0,2,0,1,0,0,14,8,1,0,0,3,0,130,0,79
B21,2,1,0,0,0,3,0,1,8,0,1,8,28,2,2,0,15,1,0,0,22,0,4,7,0,1947,83,379,29,53,35,1,4,51,71,6,24,0,6,1,1,11,74,5,45,1,12,168,2,4,2,0,1,2,1,2,8,0,2,2,2,5,12,0,0,0,0,132,58,36,7,0,0,6,0,0,4,1,5,6,2,18,4,3,0,28,10,13,16,45,9,0,7,7,7,272,6,3,2,3,5,12,1,12,113,1,3,45,9,2,1,27,1,0,0,0,0,4,0,1,4,35,21,0,1,13,1,57,0,744
B22,0,0,0,4,0,0,0,0,6,0,0,2,36,0,7,0,82,7,5,0,20,0,5,6,0,83,1565,89,29,3,0,6,19,84,35,0,24,28,7,0,0,0,11,3,9,2,0,16,1,0,0,0,31,53,2,16,150,0,1,9,53,18,5,1,1,0,0,108,486,140,14,11,0,2,0,0,1,0,0,0,0,1,0,1,0,1,1,0,36,43,63,0,3,41,4,96,1,0,1,10,9,4,3,65,13,2,8,33,3,3,0,14,2,0,1,0,0,17,0,1,6,180,8,2,2,42,6,163,0,441
B23,8,0,5,2,10,3,0,3,6,2,3,18,88,3,3,0,31,7,1,2,26,7,1,27,6,379,89,4494,196,303,106,193,107,133,20,4,32,6,54,1,0,25,50,2,50,4,15,79,6,3,2,0,6,2,2,20,69,0,4,9,13,13,3,2,2,1,1,69,110,120,32,5,0,3,0,0,3,1,3,0,0,5,19,12,2,29,11,12,66,117,47,3,13,58,31,412,3,0,17,28,5,10,1,5,76,1,6,156,74,43,1,167,26,6,2,3,2,11,6,1,34,263,81,0,11,252,13,173,0,2183
B24,3,0,0,0,0,0,0,0,5,1,10,16,29,1,4,0,18,3,2,0,18,1,0,26,0,29,29,196,842,21,17,13,41,34,3,1,6,0,8,1,0,7,0,0,2,1,0,11,0,1,0,0,6,9,2,15,28,0,2,2,17,51,1,4,1,0,0,8,18,23,4,2,0,6,1,1,9,0,1,1,3,3,4,0,1,1,1,1,11,9,5,0,1,2,0,38,0,0,2,0,0,2,2,0,3,0,1,26,23,13,2,27,2,0,0,0,0,9,0,0,5,117,7,1,0,3,2,29,0,227
B25,23,0,1,0,0,2,0,3,1,6,6,30,54,3,17,0,7,0,1,0,10,2,2,9,1,53,3,303,21,1345,35,16,10,30,3,1,5,0,4,1,1,1,20,3,21,5,6,41,21,4,0,0,0,1,0,3,1,0,0,2,1,1,0,1,4,0,0,2,0,4,2,0,2,0,0,1,0,0,1,0,0,1,4,7,1,30,4,3,24,14,11,1,2,2,25,223,1,0,7,1,4,0,0,1,2,3,4,47,6,4,0,129,22,0,1,5,2,3,2,0,23,70,43,1,4,11,0,46,0,449
B26,14,10,4,10,11,7,0,0,3,11,2,11,40,1,0,0,5,9,0,0,10,5,1,1,0,35,0,106,17,35,825,16,11,93,3,43,19,0,56,6,1,3,5,0,0,0,0,112,1,2,0,0,0,0,1,7,0,0,1,0,1,1,0,2,0,3,11,0,0,4,2,1,0,1,0,2,4,0,11,0,0,8,0,0,0,2,1,0,2,1,2,0,0,0,3,24,0,0,0,0,0,0,0,0,0,1,3,13,2,9,0,10,6,5,0,2,0,0,0,0,0,10,10,1,1,20,1,9,0,472
B27,63,0,2,4,0,0,0,1,0,0,0,5,9,0,0,0,4,9,1,0,20,0,2,0,0,1,6,193,13,16,16,659,18,45,20,2,31,0,4,4,0,9,7,2,2,1,0,24,0,2,0,0,0,1,1,0,19,0,0,13,73,22,2,3,3,0,2,1,2,1,0,0,0,0,0,0,9,0,6,0,0,21,2,0,1,31,6,10,3,3,5,0,0,0,0,26,0,0,1,1,2,1,7,0,1,0,0,7,0,0,0,3,1,0,0,0,1,0,0,0,2,6,9,0,0,2,1,26,0,237
B28,3,0,0,0,0,0,0,0,1,0,0,3,3,0,0,0,58,2,6,0,22,3,1,2,0,4,19,107,41,10,11,18,605,48,31,1,12,1,4,1,0,12,3,0,0,0,0,11,1,0,0,0,0,3,2,13,99,1,0,0,7,5,4,0,0,0,0,3,5,3,0,4,0,1,0,0,1,0,1,0,0,2,27,17,8,103,2,1,20,7,0,1,2,0,3,23,0,0,0,2,2,0,9,14,2,0,0,8,3,1,0,3,2,1,0,0,0,1,0,0,1,23,4,0,0,3,5,40,0,133
B29,43,12,19,33,0,30,5,41,58,15,36,65,342,4,39,0,329,35,44,2,162,14,19,24,17,51,84,133,34,30,93,45,48,6881,102,129,737,62,57,14,3,65,392,4,55,20,31,680,5,15,7,3,12,9,7,57,50,1,2,14,999,149,20,10,8,0,1,3,13,31,6,2,2,81,15,32,102,3,97,14,33,63,9,13,14,113,10,55,6,16,39,3,33,34,18,592,16,16,0,4,28,14,23,3,43,7,4,128,221,90,2,89,35,4,3,36,11,111,0,0,15,283,83,1,11,160,6,383,0,2320
B30,20,6,6,21,0,2,0,0,0,1,0,1,21,0,0,0,43,7,2,1,5,0,0,0,8,71,35,20,3,3,3,20,31,102,560,4,22,0,5,1,0,11,2,0,0,0,0,39,2,0,0,0,0,1,1,1,4,2,2,0,2,2,3,14,1,1,1,2,3,3,2,0,0,0,1,1,5,0,7,0,2,22,1,1,2,3,0,0,1,1,0,2,0,0,11,38,0,0,0,1,1,2,6,3,3,0,0,11,0,2,0,7,3,1,0,0,1,1,0,0,11,12,1,0,0,14,0,33,0,140
B31,5,0,0,0,2,1,0,0,13,1,0,11,19,2,0,0,10,0,0,0,10,0,0,0,0,6,0,4,1,1,43,2,1,129,4,584,65,0,9,3,3,4,0,0,0,1,1,303,0,0,0,0,0,0,0,0,2,0,0,0,8,8,0,0,0,0,0,0,1,1,0,0,0,1,0,1,7,0,1,0,0,35,0,0,0,5,1,4,0,0,1,0,0,1,0,8,1,0,0,0,0,0,2,0,3,1,0,2,0,1,0,1,0,0,0,27,0,2,0,0,0,1,0,0,0,0,0,4,0,290
B32,23,0,12,16,1,57,3,15,9,2,2,62,196,10,16,0,69,1,5,0,71,0,1,5,0,24,24,32,6,5,19,31,12,737,22,65,3151,3,65,28,1,74,138,7,8,13,20,299,0,0,3,0,8,7,2,93,98,0,0,11,723,323,0,4,1,0,5,5,44,63,11,3,1,21,7,20,182,3,112,2,22,101,15,7,2,189,7,47,2,17,10,1,0,4,3,155,1,5,2,6,13,9,1,2,7,39,2,26,81,53,1,3,21,2,7,37,25,44,0,0,6,142,22,4,2,174,36,128,0,1907
B33,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,3,0,0,0,2,1,0,0,0,0,28,6,0,0,0,0,1,62,0,0,3,112,4,0,0,1,0,0,0,0,1,4,0,0,0,0,1,0,0,1,5,0,0,3,16,4,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,2,0,0,8,3,26,0,9,8,0,0,2,0,0,0,1,0,5,0,0,2,5,0,24,0,16
B41,6,0,1,1,1,2,0,0,2,0,1,6,22,0,7,0,37,1,3,0,54,0,1,4,0,6,7,54,8,4,56,4,4,57,5,9,65,4,3735,84,4,136,11,2,0,0,0,354,0,0,0,2,20,24,6,22,15,0,0,67,117,278,0,4,2,0,2,2,14,26,57,0,2,5,0,2,4,0,68,0,2,80,0,0,0,1,0,1,0,1,4,0,8,1,4,60,0,1,0,1,5,3,13,0,1,1,1,118,95,495,2,20,334,73,1,57,1,41,1,0,0,101,22,5,239,99,46,23,0,1276
B42,0,0,0,0,0,1,0,0,2,6,0,14,0,0,2,0,1,0,0,0,9,0,1,0,0,1,0,1,1,1,6,4,1,14,1,3,28,0,84,476,4,12,1,0,0,0,0,101,0,0,0,0,1,7,0,3,0,0,0,0,5,22,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,27,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,2,0,0,2,0,0,0,0,0,0,1,16,67,1,0,76,31,0,26,1,13,0,0,1,6,1,0,5,3,1,2,0,192
B43,1,0,0,0,1,0,0,0,1,17,3,6,5,0,0,0,1,0,1,0,9,0,6,0,0,1,0,0,0,1,1,0,0,3,0,3,1,0,4,4,140,6,0,0,0,0,0,28,0,0,0,0,0,0,0,0,1,0,0,2,4,12,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,3,3,0,0,8,3,0,9,0,0,0,0,0,1,0,0,5,0,0,0,0,34
B44,4,0,0,0,0,1,0,0,7,8,6,10,5,0,8,0,16,0,0,0,48,0,0,7,0,11,0,25,7,1,3,9,12,65,11,4,74,1,136,12,6,511,12,0,1,0,0,24,0,0,0,0,0,2,0,15,24,0,0,0,25,31,0,0,0,0,1,0,1,12,3,0,0,0,0,0,1,0,36,0,0,19,3,0,0,20,0,7,0,0,0,0,0,0,0,4,1,2,2,0,4,1,0,0,0,0,0,5,14,22,1,8,9,3,0,27,1,3,0,0,2,9,0,0,6,7,1,9,0,203
B60,67,0,0,3,8,1,3,3,21,4,5,93,66,9,11,1,74,1,0,0,43,1,1,15,3,74,11,50,0,20,5,7,3,392,2,0,138,0,11,1,0,12,8116,191,772,41,81,109,89,10,1,0,1,10,6,25,2,0,32,16,281,57,4,5,1,0,0,16,16,6,3,0,0,13,16,23,23,1,20,40,24,0,36,39,5,37,206,43,5,168,319,9,103,12,104,1822,26,105,1,21,96,87,0,0,75,16,39,444,67,4,1,279,76,130,99,33,37,17,14,2,0,355,405,31,122,130,9,727,12,2202
B61,0,0,0,0,0,0,0,0,0,0,0,4,4,6,4,0,1,0,0,0,1,0,1,0,0,5,3,2,0,3,0,2,0,4,0,0,7,0,2,0,0,0,191,663,65,9,11,49,12,0,0,0,1,2,1,0,0,0,0,0,1,1,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,3,8,26,6,0,2,2,0,0,0,3,98,0,2,0,0,2,0,0,0,1,0,0,42,0,0,0,9,15,5,27,4,0,2,0,0,0,12,14,3,10,5,0,73,0,40
B62,27,1,1,0,0,1,0,8,0,3,0,20,28,3,19,0,1,0,0,0,5,0,0,0,2,45,9,50,2,21,0,2,0,55,0,0,8,0,0,0,0,1,772,65,1978,9,10,51,40,0,1,0,0,1,0,1,3,0,0,0,8,10,1,0,0,0,0,3,2,2,1,0,0,0,0,0,2,0,0,0,1,0,11,30,0,14,32,4,2,12,32,0,12,1,30,352,1,4,1,0,1,0,0,0,0,5,3,67,1,0,1,36,7,12,6,6,4,1,0,0,2,21,38,6,0,1,1,112,0,564
B63,8,0,0,0,0,5,0,1,2,4,0,6,4,26,13,0,11,0,0,0,4,0,0,10,1,1,2,4,1,5,0,1,0,20,0,1,13,0,0,0,0,0,41,9,9,629,26,23,19,2,0,0,0,1,6,2,2,0,0,2,5,3,1,0,1,0,0,1,0,2,1,0,0,0,0,0,2,0,1,3,1,0,9,50,6,25,5,4,23,11,31,9,14,9,6,93,11,2,0,1,4,6,0,0,2,11,6,29,2,0,4,13,4,1,5,3,7,2,1,0,6,15,14,0,4,1,1,71,0,86
B64,1,0,0,0,0,5,0,0,3,1,0,7,7,23,6,0,9,0,0,0,4,0,0,6,0,12,0,15,0,6,0,0,0,31,0,1,20,1,0,0,0,0,81,11,10,26,905,17,5,5,0,0,0,2,0,1,2,0,1,2,6,8,0,0,0,0,0,0,2,2,1,1,0,1,0,2,2,1,1,0,2,1,11,1,3,16,15,4,0,20,84,16,10,37,18,126,2,13,0,2,19,10,0,0,14,21,32,50,15,2,1,60,6,2,13,10,7,1,1,1,0,25,19,2,13,17,3,239,0,208
B65,118,35,43,136,24,19,0,4,44,93,15,224,360,5,11,0,135,9,6,1,235,8,105,50,7,168,16,79,11,41,112,24,11,680,39,303,299,4,354,101,28,24,109,49,51,23,17,6641,84,149,4,0,3,6,3,50,7,10,0,8,127,67,10,17,14,0,3,29,2,25,16,0,0,101,43,74,39,19,67,10,6,57,28,12,11,44,39,9,19,3,8,0,7,0,12,254,32,2,1,24,10,41,32,30,7,10,14,245,35,258,1,38,92,154,15,78,4,59,0,0,12,81,56,3,34,66,0,209,0,1779
B66,9,0,0,0,0,0,0,0,0,0,0,9,11,13,3,0,2,0,0,0,0,0,0,0,0,2,1,6,0,21,1,0,1,5,2,0,0,0,0,0,0,0,89,12,40,19,5,84,684,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,10,0,0,10,25,0,28,21,19,10,0,1,0,4,0,46,95,0,1,1,0,0,1,0,0,0,1,0,40,6,0,0,27,2,6,5,2,0,1,0,0,4,20,42,3,1,1,0,22,1,100
B67,3,1,0,12,0,1,0,0,0,1,0,12,18,0,0,0,43,0,0,0,20,1,1,14,1,4,0,3,1,4,2,2,0,15,0,0,0,0,0,0,0,0,10,0,0,2,5,149,4,452,0,0,0,0,5,0,0,0,0,1,2,1,0,1,2,0,0,0,0,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,2,1,0,12,1,0,65,11,1,0,0,0,15,0,0,0,0,0,61,1,2,0,13,12,18,2,3,0,1,0,0,0,3,1,0,0,1,0,3,0,125
B68,2,0,0,0,0,1,0,0,1,0,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,7,0,0,3,0,0,0,0,0,1,0,1,0,0,4,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
