,A01,A21,A22,A23,A24,A41,A42,A43,A44,A45,A46,A47,A61,A62,A63,A99,B01,B02,B03,B04,B05,B06,B07,B08,B09,B21,B22,B23,B24,B25,B26,B27,B28,B29,B30,B31,B32,B33,B41,B42,B43,B44,B60,B61,B62,B63,B64,B65,B66,B67,B68,B81,B82,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C21,C22,C23,C25,C30,C40,D01,D02,D03,D04,D05,D06,D07,D10,D21,E01,E02,E03,E04,E05,E06,E21,F01,F02,F03,F04,F05,F15,F16,F17,F21,F22,F23,F24,F25,F26,F27,F28,F41,F42,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G16,G21,H01,H02,H03,H04,H05,H10,Y02,Y04,Y10
F04,9,0,3,0,0,0,0,0,0,2,0,24,114,3,0,0,77,2,0,3,36,0,0,21,0,7,3,13,1,2,0,0,2,33,0,0,0,0,8,0,0,0,103,0,12,14,10,7,4,12,0,0,0,3,8,1,1,0,0,3,6,8,14,0,0,0,0,3,10,15,0,0,3,1,0,0,0,0,5,0,0,6,1,19,9,7,2,2,25,323,148,27,1827,319,35,342,5,1,5,9,43,101,0,2,17,0,0,59,1,0,0,42,2,1,0,1,0,1,0,1,4,29,167,0,2,5,3,121,0,454
F05,2,0,0,0,0,0,0,0,0,0,0,3,11,1,0,0,16,0,0,0,6,0,0,5,0,7,41,58,2,2,0,0,0,34,0,1,4,0,1,0,0,0,12,0,1,9,37,0,0,1,0,0,1,2,1,0,19,0,1,3,3,1,5,0,0,0,0,10,37,44,4,1,0,0,0,0,0,0,0,0,0,4,1,5,2,1,0,0,0,443,485,101,319,1230,6,190,0,0,1,70,6,7,0,0,15,1,0,11,1,0,0,4,0,0,0,0,5,0,0,0,1,6,41,1,0,4,0,344,0,241
F15,14,0,0,1,0,1,0,0,0,0,1,2,13,4,1,0,28,0,1,0,18,2,0,1,0,7,4,31,0,25,3,0,3,18,11,0,3,2,4,0,0,0,104,3,30,6,18,12,46,0,0,2,0,0,0,2,0,0,0,1,2,0,4,0,0,1,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,1,1,76,3,1,11,1,10,18,21,6,35,6,872,292,2,0,0,4,6,2,0,0,4,2,4,49,0,2,0,55,0,0,2,0,3,2,0,0,0,20,8,3,0,4,0,18,0,334
F16,67,1,1,7,0,9,2,9,24,6,13,234,258,37,40,0,115,10,2,15,96,5,5,27,6,272,96,412,38,223,24,26,23,592,38,8,155,2,60,3,2,4,1822,98,352,93,126,254,95,65,1,2,7,6,14,18,116,2,0,10,132,58,24,3,2,0,0,45,65,93,20,3,0,24,10,27,36,3,56,14,12,87,32,83,148,287,157,66,234,482,583,28,342,190,292,11105,79,16,18,50,111,67,8,25,79,22,12,342,58,40,5,222,26,15,15,19,33,70,8,0,47,242,543,9,24,65,7,338,0,4433
F17,4,0,0,1,0,0,0,0,0,0,0,3,11,7,1,0,35,0,0,0,3,0,0,4,2,6,1,3,0,1,0,0,0,16,0,1,1,0,0,0,0,1,26,0,1,11,2,32,0,11,0,0,1,16,2,1,1,0,1,3,11,18,21,0,1,0,0,1,3,5,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,3,0,0,6,3,9,0,5,0,2,79,411,0,0,3,3,48,1,0,9,2,2,48,2,1,0,27,2,1,0,1,0,0,0,0,3,17,1,0,0,0,1,62,0,148
F21,9,1,0,1,1,2,4,0,1,5,0,15,14,4,5,0,4,0,0,0,7,0,0,0,0,3,0,0,0,0,0,0,0,16,0,0,5,0,1,2,0,2,105,2,4,2,13,2,1,1,0,0,1,0,0,5,2,0,0,4,8,16,0,2,1,0,0,0,0,3,1,1,0,0,0,1,0,0,0,1,0,0,11,0,4,22,2,10,0,1,0,1,1,0,0,16,0,757,0,3,23,7,4,0,1,4,2,12,133,26,2,2,1,1,17,35,0,1,1,0,2,118,18,1,11,54,11,56,1,109
F22,0,1,0,0,0,0,0,0,0,0,0,10,6,0,0,0,48,0,1,10,0,0,1,5,0,2,1,17,2,7,0,1,0,0,0,0,2,0,0,0,0,2,1,0,1,0,0,1,1,0,0,0,0,6,3,0,1,0,0,1,2,1,12,0,0,0,0,3,4,7,5,0,0,0,0,0,0,0,6,0,0,2,0,0,0,1,0,0,0,34,5,3,5,1,0,18,0,0,350,74,17,4,0,6,90,0,0,12,1,0,0,4,2,0,0,0,0,1,1,0,37,4,0,1,0,2,0,86,0,57
F23,9,2,0,5,2,0,0,0,0,4,0,3,9,7,0,0,219,6,6,18,43,1,2,4,25,3,10,28,0,1,0,1,2,4,1,0,6,0,1,0,0,0,21,0,0,1,2,24,0,0,0,0,1,28,13,45,26,3,1,4,4,4,78,1,1,0,0,33,16,11,1,0,0,1,1,2,2,0,1,0,1,10,2,0,0,3,0,0,2,65,151,0,9,70,4,50,3,3,74,1533,149,5,20,67,67,0,4,16,0,0,0,23,0,0,3,1,3,2,0,0,13,12,2,2,1,28,0,384,0,130
F24,24,29,0,9,0,0,0,1,0,1,1,63,37,15,3,1,88,0,11,2,10,0,0,15,0,5,9,5,0,4,0,2,2,28,1,0,13,0,5,2,0,4,96,2,1,4,19,10,0,0,0,0,3,10,12,22,10,2,0,4,9,21,1,0,5,0,0,1,1,17,4,1,0,2,0,0,7,0,7,0,4,2,3,2,11,103,17,35,11,17,13,11,43,6,6,111,3,23,17,149,1782,136,12,3,189,1,3,32,25,2,7,139,2,1,1,5,1,4,0,1,4,35,46,4,5,179,21,736,0,215
F25,17,5,0,53,0,2,1,0,0,1,0,72,35,2,0,1,132,1,1,2,8,0,0,0,1,12,4,10,2,0,0,1,0,14,2,0,9,0,3,0,0,1,87,0,0,6,10,41,1,15,0,0,1,58,6,0,4,0,1,29,11,41,22,2,6,0,0,8,3,7,1,3,0,0,0,0,0,0,7,0,0,0,3,1,1,12,21,3,1,32,29,2,101,7,2,67,48,7,4,5,136,1364,3,2,165,1,0,59,3,1,0,70,7,10,2,2,5,1,1,0,3,49,27,0,6,15,16,294,0,276
