cpc_1,cpc_2,convergence_prob,actually_converged,jaccard_cutoff,jaccard_target,convergence_type
H10N,H02N,0.0039,0,0.091897,0.115581,GPT
B41F,B65H,0.0039,0,0.068285,0.049842,ASYM
H01L,H01J,0.0039,0,0.038468,0.030336,ASYM
F28D,F28F,0.0039,0,0.554773,0.532251,SYM
C08F,C04B,0.0039,0,0.01384,0.014388,ASYM
C08L,A61K,0.0039,0,0.011996,0.013288,ASYM
B82Y,G01N,0.0038,0,0.028747,0.0222,ASYM
H01J,G01N,0.0038,0,0.016432,0.026438,GPT
F02C,F05D,0.0038,0,0.228853,0.294118,ASYM
B65D,A47J,0.0038,0,0.04537,0.07269,GPT
G01N,B07C,0.0038,0,0.006439,0.006409,GPT
A46B,A46D,0.0038,0,0.197279,0.194958,GPT
G11B,B82Y,0.0038,0,0.033918,0.012415,SYM
H05K,H01F,0.0037,0,0.015389,0.016917,ASYM
F28D,F25B,0.0037,0,0.069079,0.072864,SYM
G02F,H01S,0.0036,0,0.036598,0.030657,ASYM
A61B,G06T,0.0036,0,0.039224,0.053791,ASYM
B60J,E05Y,0.0036,0,0.070071,0.043246,ASYM
H04B,H03D,0.0036,0,0.020572,0.009957,GPT
B26D,B26F,0.0036,0,0.2875,0.295858,ASYM
F16L,F16B,0.0036,0,0.031931,0.026653,SYM
C08G,C07F,0.0035,0,0.028396,0.030493,ASYM
G11B,H03M,0.0035,0,0.028112,0.024597,ASYM
G01N,G01M,0.0035,0,0.010923,0.021615,GPT
C08G,C07C,0.0035,0,0.028579,0.035901,SYM
H02M,H02J,0.0035,0,0.107226,0.130885,SYM
F04B,F04C,0.0035,0,0.067841,0.081173,ASYM
B60W,B60L,0.0035,0,0.206036,0.133587,SYM
B01F,C02F,0.0034,0,0.035644,0.036703,SYM
B01D,F02M,0.0034,0,0.029848,0.031754,ASYM
G01R,G11C,0.0034,0,0.027353,0.01402,SYM
H01L,H10B,0.0033,0,0.019546,0.015828,GPT
C07C,C08F,0.0033,0,0.028888,0.033077,SYM
H01L,G03F,0.0033,0,0.060584,0.075719,ASYM
C09K,E21B,0.0033,0,0.025475,0.029206,GPT
A61F,A61M,0.0033,0,0.103303,0.102576,SYM
B82Y,H01S,0.0033,0,0.045825,0.03353,GPT
C09D,C09B,0.0033,0,0.076718,0.047197,GPT
B41J,G03G,0.0033,0,0.060248,0.06043,ASYM
H01L,B82Y,0.0032,0,0.024932,0.027925,SYM
C08K,C09K,0.0032,0,0.035629,0.050605,ASYM
H01H,H04M,0.0032,0,0.016422,0.012834,ASYM
A23L,A23C,0.0032,0,0.128055,0.116735,GPT
B66F,B65G,0.0032,0,0.028499,0.017997,ASYM
F16H,B60T,0.0032,0,0.022672,0.018598,ASYM
B32B,D04H,0.0032,0,0.061987,0.046515,GPT
B63H,B63B,0.0032,0,0.12611,0.129503,ASYM
A61P,A61L,0.0031,0,0.025684,0.034191,GPT
C12Q,C07H,0.0031,0,0.042949,0.036493,ASYM
F16L,H02G,0.0031,0,0.067355,0.060778,ASYM
C08K,C09J,0.0031,0,0.057464,0.068176,ASYM
G01N,C12Q,0.003,0,0.187984,0.183719,ASYM
F16H,F02B,0.003,0,0.020179,0.016479,SYM
C08J,H01M,0.003,0,0.042453,0.027005,SYM
C23C,C30B,0.003,0,0.039668,0.038521,GPT
A47L,D06F,0.003,0,0.138298,0.200601,ASYM
B60W,B62D,0.003,0,0.051841,0.058472,SYM
A63F,G07F,0.0029,0,0.05315,0.029935,ASYM
H04B,H04H,0.0029,0,0.016841,0.011505,GPT
B65D,B05C,0.0029,0,0.020395,0.017554,GPT
A23L,A23B,0.0029,0,0.06813,0.076366,GPT
A23L,A23V,0.0029,0,0.414279,0.476617,ASYM
B01J,C04B,0.0029,0,0.032648,0.030256,ASYM
F16H,F15B,0.0029,0,0.022571,0.024293,GPT
A61M,F16L,0.0029,0,0.013717,0.013702,ASYM
B01D,F24F,0.0029,0,0.018484,0.01658,GPT
G09G,G11C,0.0029,0,0.029277,0.022002,SYM
C01P,C01G,0.0029,0,0.357143,0.396093,ASYM
C08K,C08L,0.0029,0,0.303683,0.33889,SYM
B65D,B21D,0.0029,0,0.011587,0.013923,GPT
H05K,B23K,0.0028,0,0.027655,0.031383,ASYM
G02B,C03B,0.0028,0,0.014997,0.014076,GPT
A61L,F24F,0.0028,0,0.018041,0.014116,GPT
B23Q,B24B,0.0028,0,0.068036,0.062108,SYM
E05F,E05Y,0.0028,0,0.559028,0.582365,ASYM
A61B,G06F,0.0027,0,0.008945,0.01363,SYM
G02B,H02G,0.0027,0,0.012515,0.011527,GPT
H01L,G01N,0.0027,0,0.006875,0.006499,SYM
C08L,A61L,0.0027,0,0.033164,0.026156,ASYM
C08F,C09J,0.0027,0,0.062573,0.057288,ASYM
H01L,H01S,0.0027,0,0.016494,0.016253,GPT
C08K,B29C,0.0027,0,0.024545,0.029962,SYM
G01S,G08G,0.0027,0,0.04888,0.063492,ASYM
B32B,C09J,0.0027,0,0.057705,0.066676,ASYM
C23C,F16C,0.0027,0,0.018499,0.013353,SYM
F23D,F23C,0.0027,0,0.236504,0.262893,SYM
C12P,C12R,0.0026,0,0.111111,0.079616,GPT
C01B,H01M,0.0026,0,0.082745,0.078339,SYM
C08J,A61L,0.0026,0,0.022009,0.028348,SYM
F16H,F16D,0.0026,0,0.110247,0.090245,SYM
H04L,H03L,0.0026,0,0.009515,0.003457,GPT
B41F,B41N,0.0026,0,0.072765,0.072939,ASYM
A61B,A61L,0.0026,0,0.041565,0.035687,ASYM
H01L,B24B,0.0026,0,0.0259,0.016362,GPT
G01N,G06T,0.0025,0,0.010061,0.014601,GPT
F24F,F25B,0.0025,0,0.075407,0.099762,SYM
F16L,E21B,0.0025,0,0.062981,0.055244,ASYM
B41J,B41M,0.0025,0,0.10389,0.154152,SYM
A61L,C02F,0.0025,0,0.028638,0.01725,ASYM
B32B,E04F,0.0025,0,0.028109,0.021202,GPT
A61K,C12Q,0.0025,0,0.021284,0.026241,GPT
B01J,B01L,0.0025,0,0.053638,0.021295,GPT
B23B,B23Q,0.0025,0,0.156342,0.16171,SYM
C08L,B29C,0.0025,0,0.03493,0.044376,SYM
H10D,B82Y,0.0024,0,0.033466,0.034686,ASYM
B24B,B24D,0.0024,0,0.194271,0.171548,ASYM
G06F,G11B,0.0024,0,0.044585,0.029192,ASYM
B01D,C01B,0.0024,0,0.050618,0.053359,ASYM
H01L,H10F,0.0024,0,0.050089,0.067612,GPT
F01N,F02B,0.0024,0,0.11602,0.094552,SYM
B62D,F16F,0.0024,0,0.018764,0.018068,ASYM
B25J,G05B,0.0024,0,0.124866,0.095386,ASYM
C08G,H10K,0.0024,0,0.027732,0.035032,ASYM
A61L,A01N,0.0023,0,0.035585,0.032081,ASYM
F04D,F05D,0.0023,0,0.157989,0.149119,ASYM
G05B,B23Q,0.0023,0,0.042798,0.027671,SYM
B01J,C02F,0.0023,0,0.036649,0.034775,GPT
B60W,B60G,0.0023,0,0.029649,0.018956,ASYM
H04L,H04Q,0.0023,0,0.06388,0.026663,GPT
B01J,F01N,0.0023,0,0.051496,0.043628,ASYM
F05B,F03D,0.0023,0,0.520581,0.683159,SYM
C08L,C09K,0.0023,0,0.031438,0.039288,ASYM
B60K,B60T,0.0023,0,0.052949,0.029593,ASYM
B29C,B29B,0.0023,0,0.068639,0.086867,GPT
A61B,G16H,0.0023,0,0.053909,0.068309,GPT
A01B,A01C,0.0023,0,0.144578,0.16381,ASYM
A61F,A61P,0.0023,0,0.008088,0.009367,GPT
B62D,B60Q,0.0023,0,0.027918,0.022284,GPT
B29D,B29L,0.0023,0,0.105826,0.116386,ASYM
H03G,H03F,0.0022,0,0.171554,0.110843,SYM
C03B,C03C,0.0022,0,0.126368,0.16801,ASYM
F16K,F15B,0.0022,0,0.053288,0.061852,ASYM
C23C,H01J,0.0022,0,0.079104,0.080457,SYM
C12N,C12Y,0.0022,0,0.097137,0.179296,GPT
F16F,B60R,0.0022,0,0.015591,0.015499,ASYM
B60R,H02J,0.0022,0,0.016551,0.019631,GPT
H01Q,G01S,0.0022,0,0.055402,0.042731,ASYM
F16C,B60G,0.0022,0,0.027005,0.021212,ASYM
G03F,B41C,0.0022,0,0.09419,0.099839,GPT
B22D,B22C,0.0022,0,0.128972,0.14393,ASYM
H01R,G06K,0.0022,0,0.017889,0.007503,SYM
H04L,H04J,0.0022,0,0.065728,0.065895,GPT
B60W,F16D,0.0022,0,0.040896,0.027127,SYM
G06F,H04M,0.0022,0,0.071748,0.085399,ASYM
A23L,A23G,0.0021,0,0.112604,0.084067,GPT
G06F,G11C,0.0021,0,0.05475,0.031308,GPT
G11C,H10B,0.0021,0,0.168685,0.22253,ASYM
C12N,C11D,0.0021,0,0.017058,0.0187,GPT
F04D,F01D,0.0021,0,0.11636,0.114162,ASYM
